;symbol;price;volume;Symbol
474;NXRT;41.81;123258.0;NXRT
475;NXST;125.5;727681.0;NXST
476;O;61.18;1417879.0;O
477;OC;82.15;697214.0;OC
478;ODC;36.2;14800.0;ODC
479;OGE;31.43;832018.0;OGE
480;OGS;72.9;205997.0;OGS
481;OHI;36.85;1759439.0;OHI
482;OKE;42.84;2399708.0;OKE
483;OMC;65.88;1104581.0;OMC
484;ORCL;63.6;8303182.0;ORCL
485;ORI;19.34;1161652.0;ORI
486;ORRF;19.53;25869.0;ORRF
487;OSK;96.44;834832.0;OSK
488;OTEX;48.74;1064876.0;OTEX
489;OTTR;41.86;102293.0;OTTR
490;OVLY;16.15;6099.0;OVLY
491;OZK;37.97;407987.0;OZK
492;PAYX;91.63;1217082.0;PAYX
493;PB;69.24;281478.0;PB
494;PBCT;14.52;3142179.0;PBCT
495;PEBK;22.28;5056.0;PEBK
496;PEBO;30.8;58014.0;PEBO
497;PEG;59.32;1812316.0;PEG
498;PEP;140.96;4437864.0;PEP
499;PETS;34.79;677689.0;PETS
500;PFC;28.83;98539.0;PFC
501;PFE;34.92;30783925.0;PFE
502;PFG;52.61;1157105.0;PFG
503;PG;129.57;4693632.0;PG
504;PH;279.47;1350690.0;PH
505;PII;118.57;715165.0;PII
506;PKBK;18.56;17444.0;PKBK
507;PLD;106.7;1541638.0;PLD
508;PLOW;45.71;48977.0;PLOW
509;PM;84.28;4664218.0;PM
510;PNC;156.94;1178801.0;PNC
511;PNM;48.9;608783.0;PNM
512;PNR;55.16;1098347.0;PNR
513;PNW;77.78;687252.0;PNW
514;POOL;359.32;248118.0;POOL
515;POR;43.05;485642.0;POR
516;POWI;86.19;420400.0;POWI
517;PPG;140.11;1679074.0;PPG
518;PPL;27.87;2664150.0;PPL
519;PRGO;43.09;708807.0;PRGO
520;PRGS;42.36;180998.0;PRGS
521;PRI;147.11;122273.0;PRI
522;PRU;80.16;4035563.0;PRU
523;PSX;72.04;2225028.0;PSX
524;PSXP;25.15;744028.0;PSXP
525;QCOM;145.84;24695403.0;QCOM
526;QSR;59.61;1073516.0;QSR
527;QTS;65.77;374225.0;QTS
528;R;67.25;229868.0;R
529;RBA;59.01;895700.0;RBA
530;RBC;131.38;178263.0;RBC
531;RBCAA;39.25;20539.0;RBCAA
532;RE;219.4;197783.0;RE
533;REG;49.11;1231723.0;REG
534;REXR;50.0;413298.0;REXR
535;RF;18.93;6295587.0;RF
536;RGA;109.54;490314.0;RGA
537;RGCO;23.18;9559.0;RGCO
538;RGLD;105.69;334997.0;RGLD
539;RGP;12.47;191472.0;RGP
540;RHI;70.82;619350.0;RHI
541;RJF;109.41;526605.0;RJF
542;RLI;100.8;109279.0;RLI
543;RMAX;38.28;74642.0;RMAX
544;RMD;202.17;728658.0;RMD
545;RNR;159.35;418167.0;RNR
546;ROK;242.89;864702.0;ROK
547;ROP;404.95;481720.0;ROP
548;RPM;86.46;538033.0;RPM
549;RS;123.74;319049.0;RS
550;RSG;90.93;1960396.0;RSG
551;RVSB;5.62;39817.0;RVSB
552;SAP;130.29;568350.0;SAP
553;SASR;35.48;82148.0;SASR
554;SBFG;18.28;8316.0;SBFG
555;SBSI;33.33;87101.0;SBSI
556;SBUX;106.48;8072094.0;SBUX
557;SCHW;55.74;6820583.0;SCHW
558;SCI;52.47;428615.0;SCI
559;SCL;120.4;36418.0;SCL
560;SCVL;50.78;163410.0;SCVL
561;SEIC;55.92;352558.0;SEIC
562;SFBC;34.0;81.0;SFBC
563;SFBS;43.95;109290.0;SFBS
564;SFNC;25.81;288160.0;SFNC
565;SGU;9.94;19495.0;SGU
566;SHBI;14.58;24751.0;SHBI
567;SHEN;44.66;232298.0;SHEN
568;SHLX;10.96;1016814.0;SHLX
569;SHW;716.58;588045.0;SHW
570;SIGI;64.72;293647.0;SIGI
571;SJI;23.04;572661.0;SJI
572;SJM;114.46;823235.0;SJM
573;SJW;68.85;83070.0;SJW
574;SLG;63.75;787432.0;SLG
575;SLGN;37.69;353273.0;SLGN
576;SMBC;34.19;6815.0;SMBC
577;SMG;236.53;348966.0;SMG
578;SMMF;22.47;6579.0;SMMF
579;SNA;184.37;613776.0;SNA
580;SNE;116.71;2009322.0;SNE
581;SNV;40.5;601764.0;SNV
582;SO;60.88;2468829.0;SO
583;SON;59.81;363874.0;SON
584;SPGI;324.02;2115365.0;SPGI
585;SPTN;18.64;216397.0;SPTN
586;SR;65.1;287652.0;SR
587;SRCE;41.95;47294.0;SRCE
588;SRE;126.24;833110.0;SRE
589;SSB;76.13;330686.0;SSB
590;SSD;100.17;181876.0;SSD
591;STAG;31.39;673688.0;STAG
592;STBA;27.58;92585.0;STBA
593;STE;183.18;411114.0;STE
594;STLD;37.63;1733146.0;STLD
595;STOR;32.97;840588.0;STOR
596;STT;74.77;1785696.0;STT
597;STZ;227.93;970467.0;STZ
598;SWK;176.64;1082193.0;SWK
